English Name,Chinese Name
Audi,Audi | 奧迪
BMW,BMW | 寶馬
Citroën,Citroën | 雪鐵龍
Ford,Ford | 福特
Fiat,Fiat | 飛雅特
GMC,GMC | 通用
Honda,Honda | 本田
Hyundai,Hyundai | 現代
Jaguar,Jaguar | 捷豹
Kia,Kia | 起亞
Lexus,Lexus | 凌志
Lucid,Lucid | Lucid
Mazda,Mazda | 馬自達
M.Benz,M.Benz | 賓士
Nissan,Nissan | 日產
Opel,Opel | 歐寶
Peugeot,Peugeot | 寶獅
Porsche,Porsche | 保時捷
Renault,Renault | 雷諾
Škoda,Škoda | Škoda
SsangYong,SsangYong | 雙龍
Subaru,Subaru | 速霸陸
Tesla,Tesla | 特斯拉
Toyota,Toyota | 豐田
Volvo,Volvo | 富豪
VW,VW | 福斯
